target,channel,price_bin,weekday,hour_bucket,item,segment_checks,item_checks,segment_rate,baseline_rate,lift,lift_clipped,uplift_pp,avg_attach_sum,opportunity_score,expected_value,segment_reliable,segment_rate_ci_low,segment_rate_ci_high
pillow,all,5-10k,Суббота,День (12-17),Другая мебель,12212,466,0.0382,0.0223,1.709,1.709,1.58,36215.37,6998647.2,1381.95,1,0.0349,0.0417
pillow,non_marketplace,10-20k,Понедельник,День (12-17),Матрас,1202,132,0.1098,0.0156,7.045,7.045,9.42,60308.33,6830736.22,6622.88,1,0.0934,0.1288
pillow,all,5-10k,Воскресенье,День (12-17),Матрас,12756,404,0.0317,0.0156,2.032,2.032,1.61,33023.94,6775288.67,1045.91,1,0.0288,0.0349
pillow,all,10-20k,Четверг,День (12-17),Матрас,2935,172,0.0586,0.0156,3.76,3.76,4.3,53228.48,6720097.17,3119.35,1,0.0507,0.0677
pillow,non_marketplace,5-10k,Пятница,Вечер (18-23),Другая мебель,996,171,0.1717,0.0223,7.687,7.687,14.94,45141.54,6715020.94,7750.2,1,0.1495,0.1964
pillow,all,10-20k,Вторник,День (12-17),Матрас,2864,161,0.0562,0.0156,3.606,3.606,4.06,55613.36,6470989.58,3126.31,1,0.0484,0.0653
pillow,all,10-20k,Среда,День (12-17),Матрас,2937,156,0.0531,0.0156,3.408,3.408,3.75,57608.31,6349521.28,3059.89,1,0.0456,0.0618
pillow,non_marketplace,5-10k,Четверг,Вечер (18-23),Другая мебель,964,162,0.168,0.0223,7.524,7.524,14.57,44519.83,6253679.32,7481.55,1,0.1458,0.193
pillow,non_marketplace,5-10k,Среда,Вечер (18-23),Другая мебель,968,164,0.1694,0.0223,7.586,7.586,14.71,43238.62,6156321.96,7325.55,1,0.1471,0.1943
pillow,non_marketplace,5-10k,Суббота,Утро (06-11),Матрас,893,147,0.1646,0.0156,10.56,10.0,14.9,46238.0,6153361.08,7611.41,1,0.1417,0.1904
pillow,all,5-10k,Вторник,День (12-17),Матрас,10381,344,0.0331,0.0156,2.126,2.126,1.75,33298.67,6066478.19,1103.43,1,0.0299,0.0368
pillow,all,5-10k,Пятница,День (12-17),Матрас,10691,334,0.0312,0.0156,2.004,2.004,1.57,35010.48,5859060.28,1093.77,1,0.0281,0.0347
pillow,all,10-20k,Понедельник,День (12-17),Матрас,2936,146,0.0497,0.0156,3.19,3.19,3.41,56841.48,5697473.74,2826.59,1,0.0424,0.0582
pillow,non_marketplace,10-20k,Суббота,Утро (06-11),Матрас,478,109,0.228,0.0156,14.629,10.0,21.24,55742.12,5660560.46,12711.07,1,0.1927,0.2677
pillow,all,5-10k,Четверг,День (12-17),Матрас,10487,323,0.0308,0.0156,1.976,1.976,1.52,35241.7,5622161.55,1085.45,1,0.0277,0.0343
pillow,non_marketplace,2-3k,Суббота,День (12-17),Матрас,1740,230,0.1322,0.0156,8.48,8.48,11.66,27041.28,5486063.25,3574.42,1,0.1171,0.1489
pillow,non_marketplace,3-5k,Суббота,День (12-17),Матрас,1654,220,0.133,0.0156,8.533,8.533,11.74,28238.81,5484482.58,3756.07,1,0.1175,0.1502
pillow,non_marketplace,5-10k,Суббота,Вечер (18-23),Матрас,1225,167,0.1363,0.0156,8.746,8.746,12.07,36390.33,5382313.3,4960.97,1,0.1182,0.1567
pillow,all,10-20k,Суббота,Утро (06-11),Матрас,1374,118,0.0859,0.0156,5.51,5.51,7.03,52827.72,5102231.6,4536.88,1,0.0722,0.1019
pillow,non_marketplace,5-10k,Пятница,Утро (06-11),Матрас,717,115,0.1604,0.0156,10.29,10.0,14.48,49132.02,5101062.78,7880.31,1,0.1353,0.1891
pillow,all,5-10k,Среда,День (12-17),Матрас,10270,316,0.0308,0.0156,1.974,1.974,1.52,32315.96,5038512.04,994.34,1,0.0276,0.0343
pillow,all,5-10k,Воскресенье,День (12-17),Другая мебель,12756,434,0.034,0.0223,1.523,1.523,1.17,33546.14,5001754.05,1141.35,1,0.031,0.0373
pillow,non_marketplace,1-2k,Суббота,День (12-17),Матрас,2904,259,0.0892,0.0156,5.722,5.722,7.36,23237.38,4966601.46,2072.48,1,0.0794,0.1001
pillow,all,5-10k,Суббота,Вечер (18-23),Другая мебель,8283,331,0.04,0.0223,1.789,1.789,1.76,33549.99,4898402.34,1340.7,1,0.036,0.0444
pillow,non_marketplace,3-5k,Понедельник,День (12-17),Матрас,1357,194,0.143,0.0156,9.171,9.171,12.74,27478.18,4749532.91,3928.35,1,0.1253,0.1626
pillow,non_marketplace,3-5k,Среда,День (12-17),Матрас,1288,179,0.139,0.0156,8.916,8.916,12.34,29283.58,4653834.74,4069.69,1,0.1212,0.1589
pillow,non_marketplace,5-10k,Четверг,Утро (06-11),Матрас,725,118,0.1628,0.0156,10.441,10.0,14.72,43078.78,4596458.82,7011.44,1,0.1377,0.1914
pillow,non_marketplace,10-20k,Вторник,Утро (06-11),Матрас,748,85,0.1136,0.0156,7.29,7.29,9.8,61404.1,4503400.34,6977.74,1,0.0928,0.1384
